"도착지전철역","역간소요분","외부코드","전철명명(영문)","전철역명","전철역코드","출발지전철역","호선"
"수원시청","3","K242","MaetanGwonseon","매탄권선","1870","매탄권선","수인분당선"
"매교","3","K243","Suwon City Hall","수원시청","1871","수원시청","수인분당선"
"수원","2","K244","Maegyo","매교","1872","매교","수인분당선"
"고색","4","K245","Suwon","수원","1846","수원","수인분당선"
"오목천","3","K246","Gosaek","고색","1873","고색","수인분당선"
"어천","5","K247","Omokcheon","오목천","1874","오목천","수인분당선"
"야목","3","K248","Eocheon","어천","1875","어천","수인분당선"
"사리","5","K249","Yamok","야목","1876","야목","수인분당선"
"한대앞","3","K250","Sari","사리","1877","사리","수인분당선"
"중앙","2","K251","Hanyang Univ. at Ansan","한대앞","1830","한대앞","수인분당선"
"고잔","2","K252","Jungang","중앙","1831","중앙","수인분당선"
"초지","3","K253","Gojan","고잔","1832","고잔","수인분당선"
"안산","3","K254","Choji","초지","1833","초지","수인분당선"
"신길온천","3","K255","Ansan","안산","1834","안산","수인분당선"
"정왕","4","K256","Neunggil","신길온천","1835","신길온천","수인분당선"
"오이도","3","K257","Jeongwang","정왕","1836","정왕","수인분당선"
"달월","3","K258","Oido","오이도","1800","오이도","수인분당선"
"월곶","3","K259","Dalwol","달월","1878","달월","수인분당선"
"소래포구","2","K260","Wolgot","월곶","1879","월곶","수인분당선"
"인천논현","2","K261","Soraepogu","소래포구","1880","소래포구","수인분당선"
"호구포","2","K262","Incheon Nonhyeon","인천논현","1881","인천논현","수인분당선"
"남동인더스파크","2","K263","Hogupo","호구포","1882","호구포","수인분당선"
"원인재","2","K264","Namdong Induspark","남동인더스파크","1883","남동인더스파크","수인분당선"
"연수","2","K265","Woninjae","원인재","1884","원인재","수인분당선"
"송도","4","K266","Yeonsu","연수","1885","연수","수인분당선"
"인하대","3","K267","Songdo","송도","1886","송도","수인분당선"
"숭의","3","K269","Inha Univ.","인하대","1888","인하대","수인분당선"
"신포","3","K270","Sungui","숭의","1889","숭의","수인분당선"
"회기","3","P117","Cheongnyangni","청량리","1306","청량리","경춘선"
"중랑","3","P118","Hoegi","회기","1307","회기","경춘선"
"상봉","2","P119","Jungnang","중랑","1308","중랑","경춘선"
"망우","2","P120","Sangbong","상봉","1309","상봉","경춘선"
"신내","3","P121","Mangu","망우","1310","망우","경춘선"
"갈매","4","P122","Sinnae","신내","1311","신내","경춘선"
"별내","2","P123","Galmae","갈매","1312","갈매","경춘선"
"퇴계원","3","P124","Byeollae","별내","1313","별내","경춘선"
"사릉","4","P125","Toegyewon","퇴계원","1314","퇴계원","경춘선"
"금곡","4","P126","Sareung","사릉","1315","사릉","경춘선"
"평내호평","4","P127","Geumgok","금곡","1316","금곡","경춘선"
"천마산","3","P128","PyeongnaeHopyeong","평내호평","1317","평내호평","경춘선"
"마석","4","P129","Cheonmasan","천마산","1318","천마산","경춘선"
"대성리","6","P130","Maseok","마석","1319","마석","경춘선"
"청평","7","P131","Daeseong-ri","대성리","1320","대성리","경춘선"
"상천","5","P132","Cheongpyeong","청평","1321","청평","경춘선"
"가평","6","P133","Sangcheon","상천","1322","상천","경춘선"
"굴봉산","5","P134","Gapyeong","가평","1323","가평","경춘선"
"백양리","4","P135","Gulbongsan","굴봉산","1324","굴봉산","경춘선"
"강촌","5","P136","Baegyang-ri","백양리","1325","백양리","경춘선"
"김유정","6","P137","Gangchon","강촌","1326","강촌","경춘선"
"남춘천","6","P138","Gimyujeong","김유정","1327","김유정","경춘선"
"소사","29","701","Siu","시우","4814","시우","서해선"
"소새울","3","841","Sosa","소사","4804","소사","서해선"
"시흥대야","3","842","Sosaeul","소새울","4805","소새울","서해선"
"신천","3","843","Siheung Daeya","시흥대야","4806","시흥대야","서해선"
"신현","4","844","Sincheon","신천","4807","신천","서해선"
"시흥시청","4","845","Sinhyeon","신현","4808","신현","서해선"
"시흥능곡","2","846","Siheung City Hall","시흥시청","4809","시흥시청","서해선"
"달미","4","847","Siheung Neunggok","시흥능곡","4810","시흥능곡","서해선"
"선부","3","848","Dalmi","달미","4811","달미","서해선"
"초지","3","849","Seonbu","선부","4812","선부","서해선"
"왕길","2","I201","Geomdan Oryu","검단오류","3201","검단오류","인천2호선"
"검단사거리","2","I202","Wanggil","왕길","3202","왕길","인천2호선"
"마전","2","I203","Geomdan Sageori","검단사거리","3203","검단사거리","인천2호선"
"완정","1","I204","Majeon","마전","3204","마전","인천2호선"
"독정","1","I205","Wanjeong","완정","3205","완정","인천2호선"
"검암","2","I206","Dokjeong","독정","3206","독정","인천2호선"
"검바위","1","I207","Geomam","검암","3207","검암","인천2호선"
"아시아드경기장","2","I208","Geombawi","검바위","3208","검바위","인천2호선"
"서구청","2","I209","Asiad Stadium","아시아드경기장","3209","아시아드경기장","인천2호선"
"가정","2","I210","Seo-gu Office","서구청","3210","서구청","인천2호선"
"가정중앙시장","2","I211","Gajeong","가정","3211","가정","인천2호선"
"석남","1","I212","Gajeong Jungang Market","가정중앙시장","3212","가정중앙시장","인천2호선"
"서부여성회관","1","I213","Seongnam","석남","3213","석남","인천2호선"
"인천가좌","1","I214","West Woman's Community Center","서부여성회관","3214","서부여성회관","인천2호선"
"가재울","2","I215","Incheon Gajwa","인천가좌","3215","인천가좌","인천2호선"
"주안국가산단","2","I216","Gajaeul","가재울","3216","가재울","인천2호선"
"주안","1","I217","Juan National Industrial Complex","주안국가산단","3217","주안국가산단","인천2호선"
"시민공원","2","I218","Juan","주안","3218","주안","인천2호선"
"석바위시장","1","I219","Citizens Park","시민공원","3219","시민공원","인천2호선"
"인천시청","1","I220","Seokbawi Market","석바위시장","3220","석바위시장","인천2호선"
"석천사거리","1","I221","Inchon City Hall","인천시청","3221","인천시청","인천2호선"
"모래내시장","1","I222","Seokcheon Sageori","석천사거리","3222","석천사거리","인천2호선"
"만수","1","I223","Moraenae Market","모래내시장","3223","모래내시장","인천2호선"
"남동구청","2","I224","Mansu","만수","3224","만수","인천2호선"
"인천대공원","2","I225","Namdong-gu Office","남동구청","3225","남동구청","인천2호선"
"회룡","2","U110","Balgok","발곡","4601","발곡","의정부경전철"
"범골","1","U111","Hoeryong","회룡","4602","회룡","의정부경전철"
"경전철의정부","2","U112","Beomgol","범골","4603","범골","의정부경전철"
"의정부시청","2","U113","Lrt Uijeongbu","경전철의정부","4604","경전철의정부","의정부경전철"
"흥선","1","U114","Uijeongbu City Hall","의정부시청","4605","의정부시청","의정부경전철"
"의정부중앙","2","U115","Heungseon","흥선","4606","흥선","의정부경전철"
"동오","1","U117","Uijeongbu Jung-ang","의정부중앙","4607","의정부중앙","의정부경전철"
"새말","2","U118","Dong-o","동오","4608","동오","의정부경전철"
"경기도청북부청사","1","U119","sae-mal","새말","4609","새말","의정부경전철"
"효자","1","U120","Gyeonggi Provincial Government Northern Office","경기도청북부청사","4610","경기도청북부청사","의정부경전철"
"곤제","2","U121","hyoja","효자","4611","효자","의정부경전철"
"어룡","2","U122","gonjae","곤제","4612","곤제","의정부경전철"
"송산","1","U123","eoryong","어룡","4613","어룡","의정부경전철"
"구래","6","690","Yangchon","양촌","4920","양촌","김포도시철도"
"마산","4","691","Gurae","구래","4921","구래","김포도시철도"
"장기","2","692","Masan","마산","4922","마산","김포도시철도"
"운양","3","693","Janggi","장기","4923","장기","김포도시철도"
"걸포북변","4","694","Unyang","운양","4924","운양","김포도시철도"
"사우","3","695","Geolpo Bukbyeon","걸포북변","4925","걸포북변","김포도시철도"
"풍무","4","696","Sau","사우","4926","사우","김포도시철도"
"고촌","3","697","Pungmu","풍무","4927","풍무","김포도시철도"
"솔밭공원","2","941","Bukhansan Ui","북한산우이","4701","북한산우이","우이신설경전철"
"4?19민주묘지","2","942","Solbat Park","솔밭공원","4702","솔밭공원","우이신설경전철"
