출발지전철역,도착지전철역,역간소요분
사당,남태령,2
남태령,선바위,3
선바위,경마공원,2
경마공원,대공원,2
대공원,과천,2
과천,정부과천청사,2
정부과천청사,인덕원,4
인덕원,평촌,3
평촌,범계,2
범계,금정,4
금정,산본,4
산본,대야미,5
대야미,반월,3
반월,상록수,4
상록수,한대앞,2
한대앞,중앙,2
중앙,고잔,2
고잔,초지,3
초지,안산,3
안산,신길온천,3
신길온천,정왕,4
정왕,오이도,3
장암,도봉산,5
도봉산,수락산,3
수락산,마들,3
마들,노원,2
노원,중계,2
중계,하계,2
하계,공릉,2
공릉,태릉입구,2
태릉입구,먹골,2
먹골,중화,2
중화,상봉,2
상봉,면목,2
면목,사가정,2
사가정,용마산,2
용마산,중곡,2
중곡,군자,2
군자,어린이대공원,2
어린이대공원,건대입구,2
건대입구,뚝섬유원지,2
뚝섬유원지,청담,3
청담,강남구청,2
강남구청,학동,2
학동,논현,2
논현,반포,2
반포,고속터미널,2
고속터미널,내방,3
내방,이수,2
이수,남성,2
남성,숭실대입구,3
숭실대입구,상도,2
상도,장승배기,2
장승배기,신대방삼거리,2
신대방삼거리,보라매,2
보라매,신풍,2
신풍,대림,3
대림,남구로,2
남구로,가산디지털단지,2
가산디지털단지,철산,3
철산,광명사거리,2
광명사거리,천왕,3
천왕,온수,3
온수,까치울,3
까치울,부천종합운동장,2
부천종합운동장,춘의,2
춘의,신중동,2
신중동,부천시청,2
부천시청,상동,2
상동,삼산체육관,2
삼산체육관,굴포천,2
굴포천,부평구청,2
부평구청,산곡,2
산곡,석남,3
응암,역촌,2
역촌,불광,2
불광,독바위,2
독바위,연신내,3
연신내,구산,2
구산,응암,3
응암,새절,2
새절,증산,2
증산,디지털미디어시티,2
디지털미디어시티,월드컵경기장,2
월드컵경기장,마포구청,2
마포구청,망원,2
망원,합정,2
합정,상수,2
상수,광흥창,2
광흥창,대흥,2
대흥,공덕,2
공덕,효창공원앞,2
효창공원앞,삼각지,2
삼각지,녹사평,2
녹사평,이태원,2
이태원,한강진,2
한강진,버티고개,2
버티고개,약수,2
약수,청구,2
청구,신당,2
신당,동묘앞,2
동묘앞,창신,2
창신,보문,2
보문,안암,2
안암,고려대,2
고려대,월곡,2
월곡,상월곡,2
상월곡,돌곶이,2
돌곶이,석계,2
석계,태릉입구,2
태릉입구,화랑대,2
화랑대,봉화산,2
봉화산,신내,5
