"adm_nm","adm_cd","node_id","node_no"
 광주시,"31250",234001572,"38-26"
 광주시,"31250",234001573,"38-52"
 광주시,"31250",234001575,"38-53"
 광주시,"31250",234001578,"17-1A"
 광주시,"31250",234001582,"12-1"
 광주시,"31250",234001583,"12-2"
 광주시,"31250",234001584,"12-3"
 광주시,"31250",234001587,"901"
 광주시,"31250",234001588,"902"
 광주시,"31250",234001590,"1-22"
 광주시,"31250",234001592,"38-11"
 광주시,"31250",234001593,"1-23"
 광주시,"31250",234001594,"38-85"
 광주시,"31250",234001595,"35-31"
 광주시,"31250",234001596,"35-33"
 광주시,"31250",234001597,"903"
 광주시,"31250",234001603,"950-1"
 광주시,"31250",234001609,"500-1A"
 광주시,"31250",234001618,"3"
 광주시,"31250",234001620,"37-21"
 광주시,"31250",234001621,"320"
 광주시,"31250",234001624,"907"
 광주시,"31250",234001639,"930-2B"
 광주시,"31250",234001640,"901A"
 광주시,"31250",234001641,"901B"
 광주시,"31250",234001642,"930A"
 광주시,"31250",234001643,"930B"
 광주시,"31250",234001644,"971-2B"
 광주시,"31250",234001650,"948A"
 광주시,"31250",234001651,"948B"
 광주시,"31250",234001652,"947B"
 광주시,"31250",234001653,"36-51B"
 광주시,"31250",234001656,"37-3A"
 광주시,"31250",234001657,"37-3B"
 광주시,"31250",234001659,"522-1"
 광주시,"31250",234001660,M5438
 광주시,"31250",234001661,"2-3"
 광주시,"31250",234001662,"38-41"
 광주시,"31250",234001663,"33"
 광주시,"31250",234001664,"33-21"
 광주시,"31250",234001665,"2-5"
 광주시,"31250",234001666,"1-12"
 광주시,"31250",234001667,"35-34"
 광주시,"31250",234001669,"913-1"
 광주시,"31250",234001671,"930-6"
 광주시,"31250",234001672,"930-7"
 광주시,"31250",234001673,"930-5"
 광주시,"31250",234001675,"916B"
 광주시,"31250",234001676,"916-1"
 광주시,"31250",234001677,"916-2"
 광주시,"31250",234001678,"916-2B"
 광주시,"31250",234001680,"912-6"
 광주시,"31250",234001681,"34-2"
 광주시,"31250",234001682,"924-3"
 광주시,"31250",234001683,"15-2"
 광주시,"31250",234001684,"36-8B"
 광주시,"31250",234001685,"36-52"
 광주시,"31250",234001686,"36-13A"
 광주시,"31250",234001692,"522-2"
 광주시,"31250",234001693,"33-1"
 광주시,"31250",234001694,"3201"
 광주시,"31250",234001695,G3202
 광주시,"31250",234001696,"100"
 광주시,"31250",234001698,"15-3"
 광주시,"31250",234001699,"15-5"
 광주시,"31250",234001700,"38-25"
 광주시,"31250",234001702,"38-27"
 광주시,"31250",234001703,"38-40"
 광주시,"31250",234001704,"38-41A"
 광주시,"31250",234001705,"3800"
 광주시,"31250",234001706,"2-6"
 광주시,"31250",234001707,"910"
 광주시,"31250",234001719,"160"
 광주시,"31250",234001720,"150"
 광주시,"31250",234001721,"165"
 광주시,"31250",234001722,"155"
 광주시,"31250",234001723,"170"
 광주시,"31250",234001724,"180"
 광주시,"31250",234001725,"175"
 광주시,"31250",234001726,"185"
 광주시,"31250",234001727,"35-17A"
 광주시,"31250",234001728,"35-30"
 광주시,"31250",237000047,"920"
 광주시,"31250",237000053,"929"
 광주시,"31250",237000054,"960"
 광주시,"31250",237000059,"961"
 광주시,"31250",237000060,"962"
 광주시,"31250",237000061,"963"
 광주시,"31250",237000062,"964"
 광주시,"31250",237000070,"972"
 광주시,"31250",237000071,"972-1"
 광주시,"31250",237000077,"981"
 광주시,"31250",237000083,"991"
 광주시,"31250",237000084,"992"
 광주시,"31250",237000085,"992-1"
 광주시,"31250",237000087,"929-1"
 광주시,"31250",237000094,"931"
 광주시,"31250",237000097,"939"
 광주시,"31250",237000099,"952"
 광주시,"31250",237000100,"953"
 광주시,"31250",237000101,"950"
 광주시,"31250",241229001,광주1
 광주시,"31250",241229002,광주2
 광주시,"31250",241229003,광주3
 광주시,"31250",241229004,광주4
 광주시,"31250",241229005,광주5
 광주시,"31250",241229006,광주6
 구리시,"31120",207000080,"1-2"
 구리시,"31120",221000032,"75"
 구리시,"31120",221000033,"1680"
 구리시,"31120",221000034,"75-1"
 구리시,"31120",221000035,G1690
 구리시,"31120",222000026,"93"
 구리시,"31120",222000050,"51"
 구리시,"31120",222000052,"95"
 구리시,"31120",234000029,"96"
 구리시,"31120",234000031,"1115-6"
 구리시,"31120",234000035,"15"
 구리시,"31120",234000050,"1650"
 구리시,"31120",234000058,"92"
 구리시,"31120",241338001,"6"
 구리시,"31120",241338002,"6-1"
 구리시,"31120",241338003,"6-2"
 구리시,"31120",241339001,"2"
 구리시,"31120",241339003,"7"
 구리시,"31120",241339004,"2-2"
 구리시,"31120",241339005,"7-1"
 구리시,"31120",241340001,"5"
 구리시,"31120",241340004,"5-1"
 구리시,"31120",241340005,"8"
 군포시,"31160",208000027,"3030"
 군포시,"31160",225000004,"100"
 군포시,"31160",225000005,"100-1"
 군포시,"31160",225000006,"31"
 군포시,"31160",234001163,"6501"
 군포시,"31160",241381001,"5"
 군포시,"31160",241381002,"10"
 군포시,"31160",241381003,"11"
 군포시,"31160",241382001,"9"
 군포시,"31160",241382002,"1"
 군포시,"31160",241382003,"6"
 군포시,"31160",241382004,"6-1"
 군포시,"31160",241382005,"7"
 군포시,"31160",241382006,"1-2"
 군포시,"31160",241382008,"1-1"
 군포시,"31160",241383001,"3"
 군포시,"31160",241383002,"3-1"
 군포시,"31160",241384001,"2"
 군포시,"31160",241384002,"12"
 김포시,"31230",218000015,M7119
 김포시,"31230",232000005,"9008"
 김포시,"31230",232000006,"1002"
 김포시,"31230",232000007,"8000"
 김포시,"31230",232000009,"81"
 김포시,"31230",232000014,"841"
 김포시,"31230",232000015,"53"
 김포시,"31230",232000016,"69"
 김포시,"31230",232000016,"69"
 김포시,"31230",232000017,"60"
 김포시,"31230",232000020,공영학운
 김포시,"31230",232000024,공영쇄암
 김포시,"31230",232000025,"60-3"
 김포시,"31230",232000028,"2"
 김포시,"31230",232000029,"88"
 김포시,"31230",232000031,"102"
 김포시,"31230",232000032,"101"
 김포시,"31230",232000035,"83"
 김포시,"31230",232000036,"201"
 김포시,"31230",232000037,"202"
 김포시,"31230",232000038,"86"
 김포시,"31230",232000038,"86"
 김포시,"31230",232000039,"86-1"
 김포시,"31230",232000047,"8600"
 김포시,"31230",232000056,"90"
 김포시,"31230",232000061,"3000"
 김포시,"31230",232000065,"81-1"
 김포시,"31230",232000067,"388"
 김포시,"31230",232000070,"22"
 김포시,"31230",232000071,M6117
 김포시,"31230",232000072,"8601"
 김포시,"31230",232000073,"1004"
 김포시,"31230",232000075,M6427
 김포시,"31230",232000076,"33"
 김포시,"31230",232000081,"6427"
 김포시,"31230",232000082,"1"
 김포시,"31230",232000083,"1-1"
 김포시,"31230",232000087,"3"
