bus_route_id,bus_route_nm,seq,st_id,ars_id,st_nm,gps_x,gps_y,pos_x,pos_y,dist_next_st,time_next_st,trn_st_id,city_nm
100100001,02,11,101000106,02210,국립극장.반얀트리호텔,127.0010413652,37.5516156456,,,,,,서울
100100001,02,12,101000149,02254,남산북측순환로입구,126.998808215,37.5506954106,,,,,,서울
100100001,02,13,102000226,03320,남산서울타워,126.9904431246,37.5511572043,,,,,,서울
100100001,02,14,102000316,03347,남산도서관,126.981814,37.552265,,,,,,서울
100100001,02,15,101000160,02269,교육연구정보원,126.980237787,37.5545553981,,,,,,서울
100100001,02,16,101000115,02220,남산케이블카.남산산책로입구,126.9838858506,37.5552850097,,,,,,서울
100100001,02,17,101000116,02221,숭의여대,126.9874059964,37.5586203825,,,,,,서울
100100001,02,18,101000053,02152,퇴계로3가.한옥마을.한국의집,126.992490506,37.5609899926,,,,,,서울
100100001,02,19,101000054,02153,충무로역2번출구.대한극장앞,126.9948830406,37.5613196823,,,,,,서울
100100001,02,20,101000103,02207,퇴계로5가.제일병원,126.9999300049,37.5624801112,,,,,,서울
100100001,02,21,101000293,02288,장충문화체육센터.권기옥활동터,127.0027220126,37.5601814056,,,,,,서울
100100001,02,22,101000117,02222,동대입구역.장충동,127.0054329618,37.5581192384,,,,,,서울
100100001,02,23,101000106,02210,국립극장.반얀트리호텔,127.0010413652,37.5516156456,,,,,,서울
100100001,02,24,101000149,02254,남산북측순환로입구,126.998808215,37.5506954106,,,,,,서울
100100002,03,1,101000033,02128,시청앞,126.97648724,37.5626069098,,,,,,서울
100100002,03,2,101000039,02137,서울신문사,126.9772704866,37.5683636767,,,,,,서울
100100002,03,3,100000023,01118,KT광화문지사,126.9772022826,37.5724045047,,,,,,서울
100100002,03,4,100000022,01117,경복궁,126.9787204661,37.5756938103,,,,,,서울
100100002,03,5,100000104,01200,안국역.종로경찰서.인사동,126.9841842323,37.5758656523,,,,,,서울
100100002,03,6,100000413,01297,남인사마당,126.9875496939,37.5713121046,,,,,,서울
100100002,03,7,100000004,01004,종로2가.삼일교,126.9875072018,37.5685822333,,,,,,서울
100100002,03,8,101000001,02001,남대문세무서.서울백병원,126.9874579937,37.5649827048,,,,,,서울
100100002,03,9,101000051,02150,퇴계로2가.명동역,126.985717,37.56094,,,,,,서울
100100002,03,10,101000032,02127,북창동.남대문시장,126.9779334764,37.5610812855,,,,,,서울
100100002,03,11,101000033,02128,시청앞,126.97648724,37.5626069098,,,,,,서울
100100002,03,12,101000039,02137,서울신문사,126.9772704866,37.5683636767,,,,,,서울
100100002,03,13,100000023,01118,KT광화문지사,126.9772022826,37.5724045047,,,,,,서울
100100002,03,14,100000022,01117,경복궁,126.9787204661,37.5756938103,,,,,,서울
100100002,03,15,100000104,01200,안국역.종로경찰서.인사동,126.9841842323,37.5758656523,,,,,,서울
100100002,03,16,100000413,01297,남인사마당,126.9875496939,37.5713121046,,,,,,서울
100100002,03,17,100000004,01004,종로2가.삼일교,126.9875072018,37.5685822333,,,,,,서울
100100002,03,18,101000001,02001,남대문세무서.서울백병원,126.9874579937,37.5649827048,,,,,,서울
100100002,03,19,101000051,02150,퇴계로2가.명동역,126.985717,37.56094,,,,,,서울
100100002,03,20,101000032,02127,북창동.남대문시장,126.9779334764,37.5610812855,,,,,,서울
100100002,03,21,101000033,02128,시청앞,126.97648724,37.5626069098,,,,,,서울
100100002,03,22,101000039,02137,서울신문사,126.9772704866,37.5683636767,,,,,,서울
100100002,03,23,100000023,01118,KT광화문지사,126.9772022826,37.5724045047,,,,,,서울
100100002,03,24,100000022,01117,경복궁,126.9787204661,37.5756938103,,,,,,서울
100100002,03,25,100000104,01200,안국역.종로경찰서.인사동,126.9841842323,37.5758656523,,,,,,서울
100100002,03,26,100000413,01297,남인사마당,126.9875496939,37.5713121046,,,,,,서울
100100002,03,27,100000004,01004,종로2가.삼일교,126.9875072018,37.5685822333,,,,,,서울
100100002,03,28,101000001,02001,남대문세무서.서울백병원,126.9874579937,37.5649827048,,,,,,서울
100100002,03,29,101000051,02150,퇴계로2가.명동역,126.985717,37.56094,,,,,,서울
100100002,03,30,101000032,02127,북창동.남대문시장,126.9779334764,37.5610812855,,,,,,서울
106000002,04,1,102000226,03320,남산서울타워,126.9904431246,37.5511572043,,,,,,서울
106000002,04,2,102000316,03347,남산도서관,126.981814,37.552265,,,,,,서울
106000002,04,3,101000111,02215,백범광장,126.9801102008,37.5556147024,,,,,,서울
106000002,04,4,101000265,02285,힐튼호텔,126.9766122299,37.5566056006,,,,,,서울
106000002,04,5,101000029,02124,남대문시장악세사리전문상가,126.9759991814,37.558573168,,,,,,서울
106000002,04,6,101000033,02128,시청앞,126.97648724,37.5626069098,,,,,,서울
106000002,04,7,101000039,02137,서울신문사,126.9772704866,37.5683636767,,,,,,서울
106000002,04,8,100000386,01011,종로1가,126.981,37.570072,,,,,,서울
106000002,04,9,100000388,01013,종로2가,126.985541114,37.570087252,,,,,,서울
106000002,04,10,100000390,01015,종로3가.탑골공원,126.9895689652,37.5701875394,,,,,,서울
106000002,04,11,100000392,01017,종로4가.종묘,126.9947286676,37.5704168801,,,,,,서울
106000002,04,12,100000394,01019,종로5가.광장시장,126.9988533013,37.5707157083,,,,,,서울
106000002,04,13,100000396,01021,종로6가.동대문종합시장,127.0034688409,37.5709177804,,,,,,서울
106000002,04,14,101000074,02173,동대문역사문화공원,127.0084231234,37.5673199726,,,,,,서울
106000002,04,15,101000071,02170,광희동,127.0072941642,37.5650333972,,,,,,서울
106000002,04,16,101000117,02222,동대입구역.장충동,127.0054329618,37.5581192384,,,,,,서울
106000002,04,17,101000106,02210,국립극장.반얀트리호텔,127.0010413652,37.5516156456,,,,,,서울
106000002,04,18,101000149,02254,남산북측순환로입구,126.998808215,37.5506954106,,,,,,서울
100100549,100,1,110000327,11428,한성여객종점,127.0700074499,37.6381165585,,,,,,서울
100100549,100,2,110000286,11387,노원평생학습관,127.0689531571,37.6392980997,,,,,,서울
100100549,100,3,110000273,11374,서울시립북서울미술관,127.0662849768,37.6405553357,,,,,,서울
100100549,100,4,110000272,11373,중계역,127.0651976974,37.6429369554,,,,,,서울
100100549,100,5,110000275,11376,중계역2번출구,127.0648650883,37.6457948167,,,,,,서울
100100549,100,6,110000277,11378,중계3단지목련아파트,127.0679031632,37.6475425263,,,,,,서울
100100549,100,7,110000279,11380,목련아파트상가,127.0700462203,37.6468902229,,,,,,서울
100100549,100,8,110000280,11381,중계목화아파트4단지,127.0715162754,37.643566149,,,,,,서울
