외부코드,전철명명(영문),전철역명,전철역코드,호선,출발지전철역,도착지전철역,역간소요분,
K230,Jeongja,정자,1857,수인분당선,정자,미금,3,
K231,Migeum,미금,1858,수인분당선,미금,오리,2,
K232,Ori,오리,1859,수인분당선,오리,죽전,4,
K233,Jukjeon,죽전,1862,수인분당선,죽전,보정,3,
K234,Bojeong,보정,1861,수인분당선,보정,구성,3,
K235,Guseong,구성,1863,수인분당선,구성,신갈,3,
K236,Singal,신갈,1864,수인분당선,신갈,기흥,3,
K237,Giheung,기흥,1865,수인분당선,기흥,상갈,3,
K238,Sanggal,상갈,1866,수인분당선,상갈,청명,3,
K239,Cheongmyeong,청명,1867,수인분당선,청명,영통,2,
K240,Yeongtong,영통,1868,수인분당선,영통,망포,3,
K241,Mangpo,망포,1869,수인분당선,망포,매탄권선,3,
K242,MaetanGwonseon,매탄권선,1870,수인분당선,매탄권선,수원시청,3,
K243,Suwon City Hall,수원시청,1871,수인분당선,수원시청,매교,3,
K244,Maegyo,매교,1872,수인분당선,매교,수원,2,
K245,Suwon,수원,1846,수인분당선,수원,고색,4,
K246,Gosaek,고색,1873,수인분당선,고색,오목천,3,
K247,Omokcheon,오목천,1874,수인분당선,오목천,어천,5,
K248,Eocheon,어천,1875,수인분당선,어천,야목,3,
K249,Yamok,야목,1876,수인분당선,야목,사리,5,
K250,Sari,사리,1877,수인분당선,사리,한대앞,3,
K251,Hanyang Univ. at Ansan,한대앞,1830,수인분당선,한대앞,중앙,2,
K252,Jungang,중앙,1831,수인분당선,중앙,고잔,2,
K253,Gojan,고잔,1832,수인분당선,고잔,초지,3,
K254,Choji,초지,1833,수인분당선,초지,안산,3,
K255,Ansan,안산,1834,수인분당선,안산,신길온천,3,
K256,Neunggil,신길온천,1835,수인분당선,신길온천,정왕,4,
K257,Jeongwang,정왕,1836,수인분당선,정왕,오이도,3,
K258,Oido,오이도,1800,수인분당선,오이도,달월,3,
K259,Dalwol,달월,1878,수인분당선,달월,월곶,3,
K260,Wolgot,월곶,1879,수인분당선,월곶,소래포구,2,
K261,Soraepogu,소래포구,1880,수인분당선,소래포구,인천논현,2,
