"ars_id","st_id","st_nm","gps_x","gps_y","pos_x","pos_y","trans_yn","area_nm","route_ids","route_nms"
"04141","103000042",응봉동현대아파트,"127.0304365347","37.5496196936","202689.2368259391","450017.0808044076",N,서울,"100100015|100100522|100100595|100100409|100100604","110B국민대|2016|241|421|4211"
"04142","103000043",응봉동현대아파트,"127.0309","37.550222","202730.1645893143","450083.9357794891",N,서울,"100100016|100100522|100100595|100100409|100100604","110A고려대|2016|241|421|4211"
"04143","103000044",대현산배수지공원입구,"127.020041931","37.5562746966","201770.6584041953","450755.3808950824",N,서울,"100100204|100100499","2233|7212"
"04145","103000046",신금호역,"127.020117586","37.5556051708","201777.35825137634","450681.0808851137",N,서울,"100100204|100100499","2233|7212"
"04146","103000047",신금호역,"127.019898","37.555268","201757.96608149126","450643.658820502",N,서울,"100100204|100100499","2233|7212"
"04147","103000048",금호고등학교,"127.0225417442","37.5534784197","201991.58555785133","450445.11075485125",N,서울,"100100204|100100499","2233|7212"
"04148","103000049",금호고등학교.금호자이1차아파트입구,"127.0229328751","37.5531077251","202026.15239909262","450403.9808486393",N,서울,"100100204|100100499","2233|7212"
"04149","103000050",금호동벽산아파트,"127.0256791281","37.5511643996","202268.84670553048","450188.3808166743",N,서울,"100100204|100100499","2233|7212"
"04150","103000051",래미안하이리버아파트,"127.0254234439","37.5514582119","202246.24723474451","450220.98082778277",N,서울,"100100204|100100499","2233|7212"
"04151","103000052",금호사거리,"127.02606314","37.5488791385","202302.84589954925","449934.78078258643",N,서울,"100100204|100100499","2233|7212"
"04152","103000053",금호사거리,"127.0259773298","37.5494639682","202295.24608303249","449999.6807958316",N,서울,"100100204|100100499","2233|7212"
"04153","103000054",금남시장앞.백범학원터,"127.0218686315","37.5480852238","201932.25460920896","449846.58077112027",N,서울,"100100015|100100522|100100204|100100595|100100409|100100604|100100499","110B국민대|2016|2233|241|421|4211|7212"
"04154","103000055",금남시장앞.백범학원터,"127.022487755","37.5482887551","201986.95332692593","449869.1807790883",N,서울,"100100016|100100522|100100204|100100595|100100409|100100604|100100499","110A고려대|2016|2233|241|421|4211|7212"
"04155","103000056",금호역,"127.0162098799","37.5478698733","201432.2663571659","449822.5807664548",N,서울,"100100026|100100051","147|301"
"04156","103000057",금호역,"127.0155079421","37.548503108","201370.23321361435","449892.84420074103",N,서울,"100100026|100100051","147|301"
"04157","103000058",금옥초등학교앞,"127.0198923146","37.5469673139","201757.65870747273","449722.4807579345",N,서울,"100100015|100100522|100100204|100100595|100100409|100100604|100100499","110B국민대|2016|2233|241|421|4211|7212"
"04158","103000059",금옥초등학교앞,"127.0183224532","37.5463133725","201618.96196450642","449649.88074198086",N,서울,"100100016|100100522|100100204|100100595|100100409|100100604|100100499","110A고려대|2016|2233|241|421|4211|7212"
"04159","103000060",힐스테이트서울숲리버아파트,"127.0270575925","37.5478877101","202390.74383573452","449824.78077613143",N,서울,"100100015|100100522|100100595|100100409|100100604","110B국민대|2016|241|421|4211"
"04160","103000061",삼성래미안아파트앞,"127.0275127211","37.5483498668","202430.94289633908","449876.0807801429",N,서울,"100100016|100100522|100100595|100100409|100100604","110A고려대|2016|241|421|4211"
"04161","103000062",옥수삼성아파트.래미안옥수리버젠,"127.0148475565","37.5436204852","201311.96917989737","449350.98070302745",N,서울,"100100015|100100522|100100204|100100595|100100604|100100499","110B국민대|2016|2233|241|4211|7212"
"04162","103000063",옥수삼성아파트.래미안옥수리버젠,"127.0146552078","37.5438034317","201294.96957775552","449371.2807040741",N,서울,"100100016|100100522|100100204|100100595|100100604|100100499","110A고려대|2016|2233|241|4211|7212"
"04163","103000064",미타사입구,"127.0168373163","37.5448556208","201487.765048947","449488.0807264433",N,서울,"100100015|100100522|100100204|100100595|100100499","110B국민대|2016|2233|241|7212"
"04164","103000065",래미안옥수리버젠.옥수중앙교회,"127.0148446166","37.5459155767","201311.66918893918","449605.6807416007",N,서울,"100100409","421"
"04165","103000066",래미안옥수리버젠.옥수중앙교회,"127.014698","37.545782","201298.71647470427","449590.8548953929",N,서울,"100100409","421"
"04168","103000069",옥수동종점,"127.0124364715","37.5492511095","201098.83670485433","449975.81414197385",Y,서울,"100100409","421"
"04169","103000070",옥정중학교입구,"127.011302745","37.5409040726","200998.77654008224","449049.48066347605",N,서울,"100100015|100100522|100100595","110B국민대|2016|241"
"04170","103000071",옥정중학교입구,"127.0109994635","37.5408770683","200971.97716649302","449046.480658032",N,서울,"100100016|100100522|100100595","110A고려대|2016|241"
"04171","103000072",성수1가1동새마을금고,"127.0496949154","37.5381106701","204391.4968395164","448740.5806392273",N,서울,"100100189|100100201|100100209|100100210","2014|2224|2412|2413"
"04172","103000073",성수1가새마을금고,"127.049836852","37.5383125195","204404.02778350987","448762.9876937084",N,서울,"100100189|100100201|100100209|100100210","2014|2224|2412|2413"
"04173","103000074",천주교성수동성당앞,"127.0464656315","37.5394395155","204106.05491746034","448887.9045446459",N,서울,"100100189|100100201|100100209|100100210","2014|2224|2412|2413"
"04174","103000075",천주교성수동성당앞,"127.0460740289","37.539305526","204071.45723138022","448873.01791056665",N,서울,"100100189|100100201|100100209|100100210","2014|2224|2412|2413"
"04175","103000076",뚝도아리수정수센터수도박물관,"127.0441937803","37.5411396402","203905.2082630173","449076.4806807614",N,서울,"100100189|100100201|100100209|100100210","2014|2224|2412|2413"
"04176","103000077",뚝도아리수정수센터수도박물관,"127.04399","37.541407","203887.1872202477","449106.14274326945",N,서울,"100100189|100100201|100100209|100100210","2014|2224|2412|2413"
"04177","103000078",서울숲,"127.0447086131","37.5429317268","203950.607191056","449275.38071562536",N,서울,"100100583|100100189|100100201|100100210","121|2014|2224|2413"
"04178","103000079",서울숲,"127.044535","37.543503","203935.236109623","449338.7710390468",N,서울,"100100583|100100189|100100201|100100210","121|2014|2224|2413"
"04179","103000080",성동구민종합체육센터,"127.0448960891","37.5460719745","203967.00680955354","449623.88075414626",N,서울,"100100583|100100189|100100201|100100210","121|2014|2224|2413"
"04180","103000081",성동구민종합체육센터,"127.0446065587","37.5463865666","203941.4074130006","449658.78076202236",N,서울,"100100583|100100189|100100201|100100210","121|2014|2224|2413"
"04181","103000082",성수공고앞,"127.0504882149","37.5398701754","204461.49519702673","448935.88067299966",N,서울,"100100201|100100209|100100210","2224|2412|2413"
